id,authors,year,venue,ref,method,role,agreement,human_baseline,verdict,verdict_label,reliability_score,stance,community,finding
xiao2023support,Xiao et al.,2023,IUI,2304.10548,Qual coding (deductive),augment,,,2,Promising (conditional),4,enabling,HCI,Codebook+GPT-3 deductive coding reaches fair-to-substantial agreement with expert coders; reliability hinges on codebook design.
zhang2025inddeduct,Zhang et al.,2025,AHFE,10.54941/ahfe1006232,Qual coding (deductive),augment,0.46,,3,Mixed / task-dependent,3,tension,Qual-methods,"Inductive+deductive coding with AI: Fleiss kappa ~0.46 (deductive), 0.57 (inductive) vs human coders; moderate, hybrid advised."
gao2024collabcoder,Gao et al.,2024,CHI,2304.07366,Qual coding (inductive),augment,,,2,Promising (conditional),4,enabling,HCI,CollabCoder: lower-barrier rigorous workflow embedding LLM suggestions in collaborative inductive coding; humans keep interpretive authority.
dunivin2024scalablecot,Dunivin,2024,arXiv,2401.15170,Qual coding (inductive),replace,,,2,Promising (conditional),4,tension,Qual-methods,Chain-of-thought coding matches human performance on 8/9 hermeneutic tasks above substantial-kappa; scalable but task-bounded.
ngo2026chatqda,Ngo et al.,2026,CHI EA,2602.18352,Qual coding (inductive),augment,,,3,Mixed / task-dependent,3,tension,HCI,"ChatQDA on-device open-source coding: usable but users show 'conditional trust', doubting interpretive nuance and consistency."
depaoli2023inductive,De Paoli,2023,Soc. Sci. Comput. Rev.,10.1177/08944393231220483,Thematic analysis,augment,,,3,Mixed / task-dependent,3,tension,CSS,"Inductive thematic analysis of interviews with ChatGPT is feasible and plausible, but themes need human verification and lack depth."
dai2023llminloop,Dai et al.,2023,EMNLP-F,10.18653/v1/2023.findings-emnlp.669,Thematic analysis,augment,,,2,Promising (conditional),4,enabling,NLP,LLM-in-the-loop thematic analysis: human-AI collaboration yields themes comparable to human analysts with large efficiency gains.
nguyentrung2025chatgptta,Nguyen-Trung,2025,Quality & Quantity,10.1007/s11135-025-02165-z,Thematic analysis,augment,,,3,Mixed / task-dependent,3,tension,Qual-methods,"ChatGPT as a thematic-analysis research assistant: helpful for breadth, but reflexive interpretation remains human work."
jain2025multillmthematic,Jain et al.,2025,arXiv,2512.20352,Thematic analysis,replace,0.907,,2,Promising (conditional),4,tension,Qual-methods,"Multi-LLM thematic analysis with dual reliability (kappa + semantic): Gemini kappa 0.907, GPT-4o 0.853, Claude 0.842 vs humans."
castellanos2025thematicsumm,Castellanos et al.,2025,JMIR AI,10.2196/64447,Thematic analysis,augment,0.797,,2,Promising (conditional),4,enabling,Health,LLM thematic summarization in qualitative health research: 79.7% agreement with human interpretation (substantial).
sharma2025details,Sharma et al.,2025,arXiv,2510.17575,Thematic analysis,augment,,,2,Promising (conditional),4,enabling,HCI,DeTAILS: iterative LLM-supported deep thematic analysis keeps the researcher in control across coding and theme development.
prescott2024efficacy,Prescott et al.,2024,JMIR AI,10.2196/54482,Thematic analysis,augment,,,3,Mixed / task-dependent,3,tension,Health,"Human vs generative-AI thematic analysis: comparable high-level themes, large efficiency gain, but AI misses nuanced sub-themes."
chew2023llmcontent,Chew et al.,2023,arXiv,2306.14924,Content analysis,augment,,,2,Promising (conditional),4,enabling,CSS,LLM-assisted content analysis: LLMs can apply codebooks with substantial agreement; recommend human validation on a labeled subset.
dunivin2025hermeneutics,Dunivin,2025,EPJ Data Science,10.1140/epjds/s13688-025-00548-8,Content analysis,augment,,,2,Promising (conditional),4,tension,CSS,Scaling hermeneutics: guide to reflexive LLM content analysis preserving interpretive validity at scale.
leas2023contentanalysis,Leas et al.,2023,J. Med. Internet Res.,10.2196/52499,Content analysis,augment,,,3,Mixed / task-dependent,3,tension,Health,"ChatGPT supports content analysis with reasonable concordance; recommended as assistant, not replacement."
