id,authors,year,venue,arxiv,domain,task,subjectivity,expertise,judge_models,comparator,metric,metric_family,agreement,human_baseline,parity,verdict,verdict_label,reliability_score,biases,n,synthesis_role,finding
zheng2023mtbench,Zheng et al.,2023,NeurIPS,2306.05685,General NLG,pairwise-comparison,mixed,low,GPT-4,crowd+expert (human-human baseline),pct_agreement,raw-agreement,0.85,0.81,yes,1,Validated,5,position;verbosity;self-enhancement,3000.0,primary,GPT-4 vs human 85% (no ties) > human-human 81% on MT-Bench; 87%=87% on Arena.
chiang2023alt,Chiang & Lee,2023,ACL,2305.01937,General NLG,pointwise-scoring,subjective,low,GPT-4;InstructGPT,experts,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,instruction-sensitivity,,primary,LLM eval can mirror human ratings on story gen/adversarial but cannot fully replace; best combined.
liu2023geval,Liu et al.,2023,EMNLP,2303.16634,Summarization,pointwise-scoring,subjective,low,GPT-4,crowd,spearman,correlation,0.514,,approx,2,Promising (conditional),4,verbosity;low-perplexity preference,,primary,"G-Eval(GPT-4) Spearman 0.514 on SummEval, SOTA over prior metrics; still < perfect."
dubois2024lc,Dubois et al.,2024,arXiv,2404.04475,General NLG,pairwise-comparison,mixed,low,GPT-4,Chatbot Arena humans,winrate_corr,correlation,0.98,,yes,2,Promising (conditional),4,length/verbosity,,primary,Length-controlled AlpacaEval lifts corr with Arena 0.93->0.98 and removes length gameability.
verga2024poll,Verga et al.,2024,arXiv,2404.18796,General NLG,pairwise-comparison,mixed,low,Panel (Command-R;GPT-3.5;Haiku),human ratings,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,intra-model bias (reduced by panel),,primary,"Panel-of-LLM-evaluators beats single GPT-4 judge, less bias, >7x cheaper."
kim2023prometheus,Kim et al.,2023,ICLR'24,2310.08491,General NLG,pointwise-scoring,subjective,low,Prometheus-13B,human,pearson,correlation,0.897,,yes,2,Promising (conditional),4,rubric-dependence,,primary,"Open 13B evaluator Pearson 0.897 with humans (45 rubrics) ~ GPT-4 0.882, >> ChatGPT 0.392."
kim2024prometheus2,Kim et al.,2024,arXiv,2405.01535,General NLG,pointwise-scoring,subjective,low,Prometheus-2,human+GPT-4,pearson,correlation,,,approx,2,Promising (conditional),4,rubric-dependence,,primary,Open evaluator narrows gap to proprietary judges on both scoring and pairwise.
zeng2024llmbar,Zeng et al.,2024,ICLR,2310.07641,Instruction Following,pairwise-comparison,mixed,low,GPT-4;Claude;PaLM2,author gold,accuracy,raw-agreement,,,approx,3,Mixed / task-dependent,3,superficial-quality preference (adversarial),419.0,primary,LLMBar: judges good on natural set but fooled by adversarial well-formatted wrong answers.
gu2024survey,Gu et al.,2024,arXiv,2411.15594,Methodology & Bias,survey,mixed,low,—,—,,,,,n.r.,3,Mixed / task-dependent,3,position;verbosity;social;cognitive,,secondary,Survey across Functionality/Methodology/Application/Meta-eval/Limitation; biases not fixed by prompt/scale.
li2024gen2judge,Li et al.,2024,EMNLP'25,2411.16594,Methodology & Bias,survey,mixed,low,—,—,,,,,n.r.,3,Mixed / task-dependent,3,bias;self-judging,,secondary,Taxonomy what/how/benchmark to judge; calls for co-judging (human-LLM) and bias mitigation.
li2024compsurvey,Li et al.,2024,arXiv,2412.05579,Methodology & Bias,survey,mixed,low,—,—,,,,,n.r.,3,Mixed / task-dependent,3,presentation;social;content;cognitive,,secondary,Comprehensive survey; pointwise/pairwise/listwise; reliability needs task-specific criteria.
tang2024tofueval,Tang et al.,2024,NAACL,2402.13249,Summarization,fact-verification,mixed,medium,GPT-4,expert,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,miss hallucinations,1500.0,primary,TofuEval: LLM-based factual-consistency detectors (incl. GPT-4) still miss many doc-summary errors.
